Batch_ID;KLT_ID;A1;A2;A3
1;11;-0,3836;-0,447;-0,9989
1;11;-0,0104;0,0005;-0,1729
1;11;0,0123;0,0312;-0,1161
1;11;-0,1955;0,0754;-0,0345
1;11;-0,1021;0,0602;-0,0627
1;11;-0,0962;0,1581;0,1181
1;11;-0,0238;-0,3068;-0,7401
1;11;-0,0433;-0,1183;-0,3922
1;11;-0,1117;-0,1031;-0,364
1;11;-0,2643;-0,1603;-0,4696
1;11;-0,2593;0,001;-0,1718
1;11;0,0469;0,0838;-0,0191
1;11;-0,0613;-0,075;-0,3122
1;11;-0,2096;-0,1805;-0,5071
1;11;-0,1689;-0,1725;-0,4921
1;11;-0,1662;-0,1088;-0,3745
1;11;-0,0751;-0,2455;-0,627
1;11;-0,1112;-0,2087;-0,5591
1;11;-0,0773;-0,2925;-0,7137
1;11;-0,2222;-0,2774;-0,6859
1;11;-0,0325;-0,0588;-0,2823
1;11;-0,1614;0,1619;0,1252
1;11;-0,0688;-0,0848;-0,3303
1;11;-0,13;-0,2435;-0,6234
1;11;-0,2034;-0,0857;-0,332
1;11;0,0091;-0,1896;-0,5237
1;11;-0,0012;-0,0669;-0,2972
1;11;-0,2078;-0,2155;-0,5716
1;11;-0,1723;-0,2218;-0,5833
1;11;-0,199;-0,0369;-0,2419
1;11;-0,1017;-0,0791;-0,3198
1;11;-0,0011;-0,1485;-0,4479
1;11;-0,2446;-0,0906;-0,341
1;11;0,1248;-0,3194;-0,7633
1;11;-0,0661;-0,1444;-0,4402
1;11;-0,0624;-0,0529;-0,2714
1;11;-0,1314;-0,2286;-0,5958
1;11;-0,167;-0,1533;-0,4568
1;11;-0,3332;-0,1549;-0,4597
1;11;-0,1865;0,0054;-0,1637
1;11;-0,166;-0,3193;-0,7632
1;11;-0,0485;-0,1635;-0,4756
1;11;-0,1407;-0,0777;-0,3172
1;11;-0,1111;0,0272;-0,1235
1;11;0,0625;-0,1788;-0,5038
1;11;0,2049;-0,0866;-0,3336
1;11;-0,0327;-0,0218;-0,214
1;11;-0,1224;-0,1249;-0,4043
1;11;-0,0514;-0,0827;-0,3264
1;11;-0,1091;-0,293;-0,7147
1;12;-0,1525;-0,1252;-0,3972
1;12;-0,1385;-0,4034;-0,9108
1;12;-0,1254;-0,2876;-0,697
1;12;-0,085;-0,0864;-0,3257
1;12;-0,1989;-0,2765;-0,6765
1;12;-0,1915;-0,4442;-0,9862
1;12;-0,1344;-0,1744;-0,488
1;12;-0,2113;-0,0211;-0,205
1;12;-0,3056;-0,1799;-0,4982
1;12;0,0157;0,0822;-0,0143
1;12;0,0022;-0,2976;-0,7155
1;12;-0,1042;-0,3886;-0,8836
1;12;-0,3076;-0,1887;-0,5145
1;12;-0,1049;-0,1062;-0,3622
1;12;-0,078;-0,0843;-0,3217
1;12;-0,1453;0,0445;-0,084
1;12;-0,1093;-0,3049;-0,729
1;12;-0,0281;-0,2309;-0,5924
1;12;-0,3793;-0,2693;-0,6633
1;12;-0,3005;-0,3347;-0,784
1;12;-0,3604;-0,0672;-0,2901
1;12;-0,0433;-0,1002;-0,3511
1;12;-0,3378;-0,0644;-0,285
1;12;-0,1121;-0,1287;-0,4037
1;12;-0,0827;-0,1645;-0,4698
1;12;-0,3726;-0,2757;-0,6751
1;12;-0,0418;-0,4256;-0,9518
1;12;-0,0494;-0,4221;-0,9453
1;12;-0,1877;-0,384;-0,875
1;12;-0,2938;-0,0565;-0,2703
1;12;-0,0226;-0,5043;-1,0971
1;12;-0,1077;0,0123;-0,1434
1;12;-0,2845;-0,2238;-0,5794
1;12;0,0025;0,0201;-0,129
1;12;-0,0813;-0,094;-0,3397
1;12;-0,2308;0,0501;-0,0737
1;12;-0,0456;-0,0317;-0,2247
1;12;-0,0553;-0,1564;-0,4549
1;12;-0,0655;-0,3624;-0,8352
1;12;0,1139;-0,1884;-0,514
1;12;-0,0543;-0,076;-0,3065
1;12;-0,1617;0,0264;-0,1174
1;12;-0,1909;-0,1926;-0,5216
1;12;-0,2509;-0,0496;-0,2577
1;12;-0,1193;-0,0142;-0,1923
1;12;-0,1559;-0,3469;-0,8066
1;12;-0,1923;-0,3572;-0,8255
1;12;-0,2088;-0,2403;-0,6096
1;12;-0,2484;-0,111;-0,3711
1;12;-0,1853;-0,1447;-0,4332
1;13;-0,1927;-0,2764;-0,639
1;13;-0,2053;-0,053;-0,2267
1;13;-0,0546;-0,196;-0,4906
1;13;-0,1639;0,0284;-0,0764
1;13;-0,3061;-0,4135;-0,8922
1;13;-0,2377;-0,3781;-0,8268
1;13;-0,1915;-0,3033;-0,6887
1;13;-0,2303;-0,2354;-0,5634
1;13;-0,0908;-0,2737;-0,634
1;13;-0,1955;-0,0606;-0,2406
1;13;-0,0761;-0,2686;-0,6246
1;13;-0,1346;-0,4481;-0,9561
1;13;-0,1235;-0,2122;-0,5206
1;13;-0,0142;-0,2507;-0,5916
