Batch_ID;KLT_ID;B1;B2;B3;B4
4;41;-0,2436;-0,4009;-0,1891;-0,0422
4;41;-0,0749;0,2953;0,1801;0,1761
4;41;-0,0372;0,1329;0,1483;0,4547
4;41;-0,0564;0,0856;0,2069;0,4399
4;41;-0,0961;0,1011;0,0866;0,5019
4;41;0,0085;0,3597;0,0097;0,2539
4;41;-0,0764;-0,3349;0,1617;0,3749
4;41;-0,0191;0,0988;-0,0312;0,5117
4;41;-0,0075;0,4678;0,0011;0,3285
4;41;-0,0757;0,1514;0,0617;0,3358
4;41;-0,1454;-0,1952;0,1889;0,1407
4;41;-0,0059;0,42;0,4143;0,5456
4;41;-0,0204;0,2236;0,2927;0,2605
4;41;-0,0639;0,2372;0,5112;0,191
4;41;-0,0853;0,0244;0,1674;0,5386
4;41;-0,0957;0,3556;0,254;0,2271
4;41;0,0065;-0,3595;0,0391;0,5676
4;41;-0,1479;-0,1041;0,0985;0,2819
4;41;-0,0205;0,2722;0,1491;0,3362
4;41;-0,0284;0,0247;0,1156;0,4311
4;41;-0,1324;0,292;-0,0384;-0,0976
4;41;-0,1469;0,2497;0,1941;0,2881
4;41;-0,0569;0,4987;-0,1479;0,4228
4;41;-0,0638;0,7825;0,3854;0,5812
4;41;-0,097;0,1482;0,1702;0,2647
4;41;-0,0858;0,3533;0,0927;0,1998
4;41;-0,1005;0,2899;0,0247;0,3573
4;41;-0,059;0,2356;0,2407;0,1967
4;41;-0,1133;-0,0713;0,1046;0,4059
4;41;-0,1624;-0,253;0,1325;0,5681
4;41;-0,1126;0,284;-0,0312;0,271
4;41;-0,0896;0,28;0,2595;0,3614
4;41;-0,067;0,0767;-0,0478;0,2504
4;41;-0,0304;0,062;0,0292;0,3255
4;41;-0,0674;-0,0164;-0,0717;0,3625
4;41;-0,1446;0,1423;0,1575;0,4311
4;41;-0,0695;0,176;0,3019;0,249
4;41;-0,0216;0,1513;0,184;0,3259
4;41;-0,1261;0,1193;0,0057;0,4554
4;41;-0,0585;-0,2982;0,0401;0,4147
4;41;-0,064;-0,0477;0,0741;0,2804
4;41;0,0126;-0,0252;0,0646;0,4043
4;41;-0,155;0,2107;0,011;0,194
4;41;-0,0773;0,1875;-0,0257;0,4245
4;41;-0,0839;0,2312;0,2734;0,4707
4;41;-0,1043;0,1754;0,1182;0,6395
4;41;-0,0697;0,5365;0,0097;0,3686
4;41;-0,0492;0,0068;0,0218;0,4938
4;41;-0,085;0,1699;0,1743;0,3134
4;41;-0,0787;0,1526;0,1806;0,1173
4;42;-0,0414;-0,0871;0,0717;0,3297
4;42;-0,0676;0,1069;0,1418;0,4261
4;42;-0,0228;0,148;0,3395;0,3079
4;42;-0,1158;0,1672;0,1403;0,3895
4;42;-0,1426;0,4553;0,148;0,4066
4;42;0,0416;0,1546;-0,181;0,2798
4;42;0,0795;0,0057;0,1102;0,4794
4;42;-0,0599;0,1881;0,3609;0,1911
4;42;-0,1065;0,1248;0,0061;0,3949
4;42;-0,0567;0,0366;0,1976;0,1353
4;42;0,0309;-0,3895;-0,0764;0,3841
4;42;-0,1323;0,2504;0,2762;0,3065
4;42;0,0774;0,2625;0,1177;0,3277
4;42;-0,0438;0,2967;0,0352;0,4134
4;42;-0,0707;0,3375;-0,0405;0,0524
4;42;0,0496;0,1741;0,2363;0,2304
4;42;0,0101;0,0205;0,1244;0,3996
4;42;-0,0406;-0,0627;0,1862;0,8003
4;42;-0,0029;0,0621;0,1023;0,2477
4;42;0,0647;0,4364;0,0614;0,2588
4;42;0,0191;0,048;0,2074;0,2624
4;42;-0,0009;0,3536;0,0835;0,2362
4;42;-0,0034;-0,1308;-0,2597;0,3276
4;42;-0,009;0,2932;0,074;0,261
4;42;-0,1012;0,2088;0,4262;0,2219
4;42;-0,0571;0,5677;0,1828;0,1423
4;42;0,0803;0,5087;-0,0363;0,155
4;42;-0,0461;-0,0403;-0,0576;0,4091
4;42;-0,0923;0,4861;0,0662;0,4234
4;42;0,0367;0,3391;0,2648;0,6503
4;42;0,0114;-0,048;0,0957;0,4525
4;42;0,0462;0,1821;0,1877;0,1092
4;42;-0,062;0,0281;0,088;0,3246
4;42;-0,0469;0,2335;0,4235;0,2064
4;42;-0,0395;0,1374;0,3289;0,411
4;42;-0,0755;0,4651;0,0292;0,4786
4;42;0,0781;0,8727;0,1548;0,4506
4;42;-0,0434;0,3719;0,2008;0,1855
4;42;-0,0291;0,3324;-0,1024;0,1754
4;42;0,0065;0,168;0,1394;0,0562
4;42;-0,0669;0,1671;0,2167;0,8083
4;42;-0,1256;0,1558;-0,1392;0,4828
4;42;0,0611;-0,0689;0,1125;0,5071
4;42;-0,0568;-0,0422;0,1463;0,2412
4;42;0,0114;0,3026;-0,1483;0,521
4;42;-0,0272;-0,0412;0,0539;0,6805
4;42;-0,0751;0,3234;0,2401;0,3341
4;42;-0,0596;0,3748;-0,013;0,4099
4;42;-0,2196;0,3252;0,2353;0,3632
4;42;0,0489;0,2893;0,1494;0,2005
4;43;-0,0267;0,2678;0,0597;0,4253
4;43;0,1288;-0,0931;0,0897;0,2705
4;43;0,0474;0,1487;0,1379;0,3827
4;43;-0,0103;-0,143;0,2985;0,2289
4;43;0,0294;0,3394;0,2722;0,4605
4;43;0,0658;0,3802;-0,0849;0,2779
4;43;0,1381;0,2093;0,0295;0,3273
4;43;-0,0824;0,0631;0,0205;0,4408
4;43;-0,0134;0,0778;-0,0785;0,4856
4;43;0,0693;0,1199;0,126;0,3624
4;43;0,0628;0,2662;0,2283;0,5859
4;43;0,1959;-0,0343;0,2149;0,4292
4;43;0,0442;0,3634;0,1803;0,2791
4;43;0,0385;0,1207;0,0432;0,3118
4;43;0,0547;0,1722;0,1476;0,3996
4;43;0,0551;-0,0276;0,1328;0,2126
4;43;-0,0199;0,1673;0,4234;0,3292
4;43;0,2118;-0,2425;0,0769;0,4481
4;43;-0,0416;0,2284;0,135;0,3036
4;43;0,0424;0,207;-0,1133;0,5925
4;43;-0,0143;0,0607;-0,0859;0,3033
4;43;0,1698;0,3129;0,1032;0,2818
4;43;-0,0061;0,0586;0,1787;0,2398
4;43;-0,0396;0,2961;0,3274;0,4876
4;43;0,0743;0,1631;0,0507;0,2831
4;43;-0,0118;0,4767;0,0439;0,4318
4;43;0,0894;0,0687;-0,0302;0,4769
4;43;0,0496;0,1049;0,3332;0,5531
4;43;0,0891;0,3269;0,2015;0,189
4;43;0,0818;0,0864;-0,0405;0,4044
4;43;0,0749;0,0489;0,2022;0,5472
4;43;0,109;-0,0683;0,0371;0,3484
4;43;0,1405;-0,0945;0,4163;0,4292
4;43;-0,0182;0,6681;0,2271;0,2366
4;43;0,009;0,2138;0,0417;0,4129
4;43;0,0555;0,053;-0,0595;0,4672
4;43;0,1568;0,0667;0,1341;0,2038
4;43;0,0231;0,3067;-0,0298;0,3203
4;43;0,0626;0,1604;-0,0376;0,6393
4;43;-0,0097;-0,0322;0,1536;0,5308
4;43;-0,0257;0,4331;0,07;0,4411
4;43;0,1017;0,4613;0,0043;0,2458
4;43;0,0996;0,0494;0,1911;0,4762
4;43;0,0465;-0,0124;0,208;0,1367
4;43;-0,0012;0,141;0,0196;0,2629
4;43;0,0336;0,3083;0,0351;0,4015
4;43;-0,0071;0,0926;0,1547;0,8107
4;43;0,0605;0,3276;0,0524;0,3588
4;43;0,031;0,3134;-0,0332;0,3544
4;43;0,1259;0,2347;-0,0818;0,1145
5;51;0,0936;0,1172;-0,1671;-0,317
5;51;0,0422;0,5469;-0,0757;-0,1635
5;51;0,0279;0,2283;0,0552;-0,4179
5;51;0,1145;0,1284;0,0407;-0,0834
